ASIN,Dimensions,activeseller,bestseller,brand,buybox,description,firstdate,img,price,rating,reviews,title,url,weight_lbs
B07QDQYR2R,8.5 x 3.6 x 2.1,0,"#24,774 in Pet Supplies  #157 in Dog Claw Care",I-pure items,I-pure items,"2020 UPGRADED DESIGN,MORE POWERFUL THAN OTHERSOur dog nail grinder adopt the upgrade motor with high quality brass shaft,have much power and long service life than other nail grinder.Designed with high speed RMP so that you can finish grinding quickly and pets or cats can get freedom faster.SUITABLE FOR ALL PETS WITH 3 SIZE PORTSThe dog nail trimmer has 3 size ports with 2 speed,which is suitable for all kinds of pets.You can adjust an appropriate model to trim your pets' nail according to their size.Get our pet nail grinder,will help you to save more money to trim pet's nail at home. ULTRA QUITE & SAFE AND PAINLESSThe pet nail grinder for dogs and cats designed with low noise less than 50 db,which can protect your pets from fear,anxiety and antipathy,will makes grinding easier.Safe and painless with the diamond bit grinder,that can reduce the risk of over cutting and hurting your pet.USB RECHARGEABLE,MORE CONVENIENTOur rechargeable dog nail grinder including a USB wire for your convenience. Easy to operate with cordless design; You can charge it with computers, power banks, car chargers when battery runs out. Perfect for pet grooming store or home using.Safe Buy We try our best to bring the best use experience to our customers.If you are unhappy with our product.Please contact our team anytime,we will provide you best service","April 8, 2019",https://m.media-amazon.com/images/I/619-4EQiAhL._AC_UL320_.jpg,15.99,4.1,1600,"I-pure items Dog Nail Grinder, Electric Dog Nail Trimmer Clipper, 2 Speed Pet Nail Grinder for Dogs Grooming Kit, Rechargeable Painless Cat Paws File Grooming &amp; Smoothing for Small Medium Large Dogs",https://www.amazon.com/I-pure-items-Electric-Rechargeable-Smoothing/dp/B07QDQYR2R/ref=sr_1_7?dchild=1&keywords=Pet+items&qid=1614564536&sr=8-7,0.599375
B000MD57OO,24 x 16 x 19.5,7,#167 in Pet Supplies  #1 in Dog Stairs & Steps #1 in Cat Stairs & Steps #3 in Cat Beds & Furniture,PetSafe,Amazon,"Continue cuddle time: Use the steps to help your best friend climb up on the sofa or bed all by themselves to improve quality time togetherSafety tested for durability: These durable steps are independently tested and rated to support pets up to 150 poundsLightweight: Weighing only 5 pounds the pet steps are easy to carry around the house wherever you need themNo slipping: Nonskid feet, fabric tread covers and side-rails keep the steps from moving and your pet from sliding when using it to get on and off of furnitureSimple to store: Pet Steps fold down flat so you can easily store them under your couch or bedSizing: Steps measure 24 inch L X 16 inch W X 20 inch H2 color choices: Pet steps are available in tan and greyMade in the USA: These high-quality PetSafe pet steps are proudly made in the United States","November 26, 2006",https://m.media-amazon.com/images/I/91JaqHRowfL._AC_UL320_.jpg,39.95,4.3,33140,"PetSafe CozyUp Folding Pet Steps, Foldable Steps for Dogs and Cats, Best for Small to Large Pets",https://www.amazon.com/PetSafe-Solvit-PupSTEP-Stairs-Foldable/dp/B000MD57OO/ref=sr_1_1?dchild=1&keywords=Pet+items&qid=1614564536&sr=8-1,5.0
B078G6MKTN,7.08 x 3.62 x 1.22,0,#616 in Pet Supplies  #2 in Dog Car Harnesses,BWOGUE,Bwogue,"HIGH QUALITY: Made of high quality nylon fabric to ensure safety, features the solid zinc alloy swivel snap and quality buckles, the pet car seat belt ensures the most safest traveling for your pet, and provides a most relaxing driving experience for you.ADJUSTABLE LENGTH: Dogs come in different sizes and weights. The Bwogue Headrest Restraint is adjustable between 18-30 inches,You can easy to adjust the dog leash to the suitable length to keep your pet in a safety state.CONVENIENT: The tangle-free nylon straps quickly and easily attaches to vehicle headrests. Safety strap is easily removed making it the perfect leash for your vehicle!PRACTICABILITY: Our durable leash Not only can use for car ,but also can be converted to a traditional hand-held leash whenever you need. In addition,It is easy to have the pets secured to a tree or other strong post to keep pets safe when you need.KEEP IN MIND: For your pet's safety, please do not attach the seat belt to your pet's collar directly. It is recommended to use the seat belt leash with pet harness than pet collar, to provide your pets a comfortable and secure wearing.","December 17, 2017",https://m.media-amazon.com/images/I/714M4n5xTWL._AC_UL320_.jpg,10.49,4.6,9367,BWOGUE 2 Packs Dog Cat Safety Seat Belt Strap Car Headrest Restraint Adjustable Nylon Fabric Dog Restraints Vehicle Seatbelts Harness,https://www.amazon.com/Bwogue-Restraint-Adjustable-Restraints-Seatbelts/dp/B078G6MKTN/ref=sr_1_10?dchild=1&keywords=Pet+items&qid=1614564536&sr=8-10,0.39
B076J8646W,12.6 x 10.51 x 2.24,0,"#1,740 in Pet Supplies  #7 in Dog Bed Blankets",Pawsse,EStarPlus,"The pet blanket is reversible for two different textures, Soft thick fleece on one side and plush sherpa backing on the other to keep your pets comfy, warm and dry.The plush micro fleece side of the blanket is made of durable water repellent fabric. Sherpa side is not waterproof but no liquid will make it through to the other side. Never worry about your little friend wet the sofa or bed.The main goal of this waterproof blanket is to prevent liquid leak through the blanket. A waterproof coating is applied inside the blanket to achieved the goal. However, the surface of the fiber itself is not waterproof , in order to provide the soft and comfortable touch.Great gift for your lovely puppy dog, cat kitty or other small animals , perfect for indoor use or inside your car or RV, anywhere a family pet hangs out.Helps keep your pet hair away from furniture and upholstery for Couch, Car, Trunk, Cage, Kennel, Dog House.Cover your pets in softness with this super plushy, cozy, long and warm hence suitable during cold weather. Blanket size : Small: 50 (L) x 30 (W) Machine washable on gentle cycle","October 18, 2017",https://m.media-amazon.com/images/I/71WDr23cUpL._AC_UL320_.jpg,19.99,4.6,2499,"Pawsse Waterproof Pet Blanket,Pee Urine Proof Dog Blanket for Couch Sofa Bed,Soft Reversible Furniture Protector Cover,Liquid Resistance Blanket for Small Medium Large Dogs Cats",https://www.amazon.com/Waterproof-Blanket-Furniture-Protector-Pawsse/dp/B076J8646W/ref=sr_1_9?dchild=1&keywords=Pet+items&qid=1614564536&sr=8-9,1.1
B01KNULJLU,13.25 x 9.5 x 0.5,3,#812 in Pet Supplies  #1 in Cat Carriers & Strollers #1 in Dog Carrier Backpacks,Pawaboo,JOIE store,"Recommended for 5LB  Small Dog & Cat  15LB : Pawaboo dog carrier backpack is designed for carrying small dogs/cats, we highly recommend for puppies less than to 15 LB (The larger dog may bring too much weight-bearing for the owner). Please DO measure your pets and choose according to the size chart (fig.2).Considerate Detail-oriented Design: Legs-out and tail-out design keep your pet safe and comfortable; Hook and loop, zipper and elastic openings allow you to fit your dog inside comfortably; Quick Release Buckles on the end of straps ensure quick installation with just one hand.Customer Experience Comes First: We always stand behind our customers and try best to meet your needs. We have made several upgraded improvements such as thickening shoulder pad sponge, using upgraded breathable mesh and polyester fiber material, which makes the carrier more durable and comfortable.Two Ways of Wearing: A hands-free pet carrier can be worn on your front side or your backside if you like, it keeps you closer and increases pet's sense of security when you carry your cat or dog around. Meanwhile, the thickened sponge pad helps to relieve the burden of your shoulder.Enjoy Trips with Your Pet: This backpack carrier is lightweight and portable, you can use it to carry small dogs or cats for biking, hiking, camping, out walking or meeting friends. It allows owners and their lovely pets to have more adventures together, what's more, it's also a great photo prop to take funny pictures for daily sharing.","August 19, 2016",https://m.media-amazon.com/images/I/7186br7i-LL._AC_UL320_.jpg,23.99,4.2,12648,"Pawaboo Pet Carrier Backpack, Adjustable Pet Front Cat Dog Carrier Backpack Travel Bag, Legs Out, Easy-Fit for Traveling Hiking Camping for Small Dogs Cats Puppies",https://www.amazon.com/PAWABOO-Backpack-Adjustable-Easy-Fit-Traveling/dp/B01KNULJLU/ref=sr_1_12?dchild=1&keywords=Pet+items&qid=1614564536&sr=8-12,0.421875
B017VMJ924,2 x 2 x 2,3,"#11,723 in Pet Supplies  #53 in Dog Shower & Bath Accessories",Kole,KIVOX STORE,Your Pet Will Love ItGreat Item For PetsGood Quality,"November 12, 2015",https://m.media-amazon.com/images/I/515C+Xv0QtL._AC_UL320_.jpg,6.99,4.3,511,"Kole KI-OF663 Super Absorbent Dog Drying Towel, Medium",https://www.amazon.com/Kole-KI-OF663-Absorbent-Drying-Medium/dp/B017VMJ924/ref=sr_1_13?dchild=1&keywords=Pet+items&qid=1614564536&sr=8-13,0.310625
B07G9N8QQG,9 x 5.5 x 2.5,3,"#1,896 in Pet Supplies  #177 in Dog Treat Cookies, Biscuits & Snacks",Crafted by Humans Loved by Dogs,Portland Pet Food Company,"SIMPLE AND PURE: Made with wholesome ingredients that allow for easy digestion with nothing artificial. Delicious mix of flavors from locally sourced ingredients lets you give even the pickiest dogs a worthy treat.CRAFTED BY HUMANS, LOVED BY DOGS: Made with 100% natural ingredients, these biscuits are human grade for a product you can feel great about giving your best friend.FREE FROM: These tasty dog treats are free from gluten, wheat, and grain and do not contain GMOs, BHA, BHT, preservatives, artificial colorings, or artificial anything.ALL SIZES: These delicious biscuits are crunchy and easily breakable, making these suitable for smaller and larger dogs of all ages from puppies to seniors.THOUGHTFULLY MADE: Sourced and baked in the USA from quality ingredients. Portland Pet Food Company donates 5% of their net profits to local non-profit animal shelters and programs, so you can feel good about every part of your purchase.","August 8, 2018",https://m.media-amazon.com/images/I/817Nk2W8BHL._AC_UL320_.jpg,9.99,4.5,2493,"Portland Pet Food Company All-Natural Dog Treat Biscuits – Handcrafted Grain-Free, Gluten-Free, USA Sourced Baked &amp; Made, Human-Grade, All Natural Limited Ingredients, 5 Ounces",https://www.amazon.com/Portland-Company-Gluten-Free-Pumpkin-Human-Grade/dp/B07G9N8QQG/ref=sr_1_8?dchild=1&keywords=Pet+items&qid=1614564536&sr=8-8,0.350625
B074P68R1T,4 x 11 x 13,16,"#160 in Pet Supplies  #1 in Dog Jerky Treats #25 in Dog Treat Cookies, Biscuits & Snacks",Nudges,Amazon,"Inspired by the taste, texture and aroma of perfectly grilled foodReal USA sourced beef as the number one ingredientNo corn, wheat, soy or animal by productsAll natural dog treatsNo artificial flavors or preservatives","November 18, 2016",https://m.media-amazon.com/images/I/91HgWMpOcZL._AC_UL320_.jpg,19.32,4.7,9291,Nudges,https://www.amazon.com/Nudges-Steak-Grillers-Dog-Treats/dp/B074P68R1T/ref=sr_1_11?dchild=1&keywords=Pet+items&qid=1614564536&sr=8-11,2.25
B07QKS7MM6,3.1 x 3.1 x 10.5,3,"#2,899 in Pet Supplies #5 in Dog Water Bottles",UPSKY,Trendfun,"[Portable & Lightweight] Portable accessories design and slim contours. Whether its a trip or walk in front of your house, it is a good choose for you and your pets.[One-hand operation] Single hand press water key to fill water, release to stop water. Water that cannot be drunk out can be turned back into the cup. It is easy to disassemble and clean.[Practical Capacity] Our dog water bottle can hold 15oz freshwater, enough for outdoor walking, camping, hiking, and traveling. Your pet can enjoy pure water at any time and anywhere with our dog water bottle.[Double Leak-Proof Design] Pet water bottle dispenser with one-key lock water and sealing rubber ring to avoid a leak. No worry about wetting your bag. Be sure your lid is fastened.[Safe & Durable Materials] The material of pet water bottle is harmless, reliable and durable, and it is intact even if you drop it accidentally.","April 18, 2019",https://m.media-amazon.com/images/I/61Pj9IuzAQL._AC_UL320_.jpg,8.99,4.6,4411,"UPSKY Dog Water Bottle Portable Pet Water Bottle Leak Proof Dog Water Dispenser, Lightweight Dog Travel Water Bottle Bowl for Walking 400ml (Blue)",https://www.amazon.com/UPSKY-Portable-Activated-Dispenser-Lightweight/dp/B07QKS7MM6/ref=sr_1_5?dchild=1&keywords=Pet+items&qid=1614564536&sr=8-5,0.34375
B07MCYFSWT,60 x 50 x 0.25,5,"#4,907 in Pet Supplies  #11 in Cat Bed Blankets #24 in Dog Bed Blankets",PETMAKER,Amazon,"Waterproof- This blanket can protect your furniture and make your pet feel comfortable while spending time with the family. The internal LINING provides extra defense against damage and stains, effectively stopping liquids from seeping through.Reversible- with soft plush on one side and fuzzy Sherpa on the other, your dog, cat, or other pets will love to snuggle up on this warm and cozy blanket.Versatile- the pet Blanket provides protection from stains, spills, and pet fur, while also being an attractive throw on your sofa, chairs, or bed. Its ideal for protecting carriers, kennels, or the seats in your car while you travel with your furry friend!Machine washable- This blanket is easy to clean and care for. Simply machine wash cold and tumble dry low.Product DETAILS- 250GSM solid Flannel+PU water resistant+sherpa 230GSM W/ embroidered paw. Dimensions: 60 x 50. Color: dark Gray.","December 21, 2018",https://m.media-amazon.com/images/I/91ghWNkkPcL._AC_UL320_.jpg,25.95,4.6,1646,"PETMAKER Waterproof Pet Blanket – 60inX50in Soft Plush Throw Protects Couch, Chair, Car, Bed from Spills, Stains Or Fur-Machine Washable (Gray), 50"" X 60""",https://www.amazon.com/PETMAKER-Waterproof-Pet-Blanket-Fur-Machine/dp/B07MCYFSWT/ref=sr_1_6?dchild=1&keywords=Pet+items&qid=1614564536&sr=8-6,2.02
