ASIN,Dimensions,activeseller,bestseller,brand,buybox,description,firstdate,img,price,rating,reviews,title,url,weight_lbs
B08RRQB5SX,n/a,2,"#69,310 in Beauty & Personal Care  #119 in Men's Rotary Shavers",Philips Norelco,PHOTOTECH,"Heads flex in 8 different directions for a superb result - Follow every contour of your face and neck with 8-directional ContourDetect heads. You'll catch 20% more hairs with every pass. Resulting in an extremely close, smooth shave.Get a comfortable dry or refreshing wet shave with Aquatec - Choose how you prefer to shave. With the Aquatec Wet & Dry seal, you can opt for a quick yet comfortable dry shave. Or you can shave wet  with gel or foam  even under the shower.50 minutes cordless shaving after a one-hour charge - Our advanced charging system gives you two convenient options: charge for one hour and youll get 50 minutes of running time, or do a quick charge for one full shave. All 9000 Series Shavers contain a powerful energy-efficient, long-lasting lithium-ion battery. They are designed to operate only in cordless mode, to ensure youll always be safe when shaving with water, even under the shower.Click-on beard styler with 5 length settings - Change your look with the SmartClick Beard Styler attachment. Choose from 5 length settings to create anything from a perfect stubble look to a short, neatly trimmed beard. Rounded tips and combs are designed to prevent skin irritation.Intuitive icons make the functions easy to use - The intuitive display shows relevant information, enabling you to get the best performance out of your shaver: - 3-level battery and travel lock indicators - Cleaning Indicator - Battery Low Indicator - Replacement Head Indicator",30-Dec-20,https://m.media-amazon.com/images/I/61fXa6gL0xL._AC_UL320_.jpg,149.99,4.2,4,"Philips Norelco Shaver Series 9000 Electric Shaver Wet &amp; Dry with SmartClick Beard Styler, V-Track Blade System &amp; Multiple Indicators",https://www.amazon.com/Philips-Norelco-Electric-SmartClick-Indicators/dp/B08RRQB5SX/ref=sr_1_56?dchild=1&keywords=Shaver&qid=1614357289&sr=8-56,0
B08NVTQ4FS,3 x 5 x 8,1,"#21,160 in Beauty & Personal Care  #41 in Men's Foil Shavers",Profo,jkdscxr,Staggered head shaver blades for a closer shave.Great for finishing fades & removing stubble.Lithium-ion battery provides maximum power.,n/a,https://m.media-amazon.com/images/I/412o+dCuMDL._AC_UL320_.jpg,56.99,4.2,39,"Profoil Lithium Plus Titanium Foil Shaver 17200, 1 Ea, 1count",https://www.amazon.com/Profoil-Lithium-Titanium-Shaver-1count/dp/B08NVTQ4FS/ref=sr_1_55?dchild=1&keywords=Shaver&qid=1614357289&sr=8-55,0.82
B0058SY1XQ,1.25 x 1.38 x 6.25,8,"#4,951 in Beauty & Personal Care  #19 in Beard Trimmers #36 in Hair Clippers & Accessories",Wahl,Amazon,"Self-Sharpening Precision Blades - Patented technology provides superior cutting for all hair types & length. The blades are long lasting for quiet performance for outstanding performance in a hair and beard trimmerComplete Grooming System - 4 multipurpose attachments are perfect for all facial hair styles: T-Blade, Detail Shaver, Rotary Personal Trimmer, Detail Trimmer. For touch ups between hair clipping & detail shaving, mustaches, sideburns, goatees, stubble, nose, ear, other face & body hairDual Voltage - This cordless beard and hair trimmer for men is equipped with a long-running lithium ion rechargeable battery usable with 110v and international 220 volt. The perfect travel choice in a hair and beard trimmer for menThe brand of professional beard trimmers used by professionals since 1919, our made in the USA trimmer includes all the tools for a perfect look. Be your own beard trimmer professional at homeGive the Gift of Quality - Beard trimmers for men make a great personal gift. Dads, husbands, and boyfriends will love this top-rated precise self-care trimmer for any occasionFor dry use only",n/a,https://m.media-amazon.com/images/I/813JwFBgGtL._AC_UL320_.jpg,76.73,4.4,6811,"Wahl Stainless Steel Lithium Ion+ Beard and Nose Trimmer for Men, Hair Clippers, Detail Shaver, Rechargeable, All in One Men's Grooming Kit - Model 9818",https://www.amazon.com/Stainless-Trimmers-Rechargeable-Professionals-9818/dp/B0058SY1XQ/ref=sr_1_60?dchild=1&keywords=Shaver&qid=1614357289&sr=8-60,0.8
B089218DWR,7.87 x 5.91 x 3.94,4,"#8,063 in Beauty & Personal Care  #15 in Men's Rotary Shavers",Teamyo,Teamyo-good-shops,"5D Floating Head, Close & Smooth Shave: Our electric razor with 5D floating heads and bladesthe others only have floating headsand made by Germany imported blades which can precision, safe and sharp automatically adapts to every angle of your face, neck and even the jaw, to remain close contact with skin, and helps to enlarge contact area & reduce irritation, providing you a efficient, comfortable, smooth and close shave experience everytime.USB Fast Charging & Long Time Using & LED DispalyThe electric shaver equipped a high-performance lithium-ion battery that provides 90 minutes cordless use when be full charged (1.5h). If you use for 3-5 minutes every day, the razor for men can be continuous use 18-30 days. The LED Display can easy look the power percentage, and the remaining power can be know at any time, which can be charged in time to avoid the trouble of low power during use. It is definitely a good partner for traveling.IPX7 Waterproof & Easy to Clean: The head shavers for bald men has high-density IPX7 waterproof function, The whole body can be soaked in water for up to 30 minutes, so you can enjoy the fun of shaving while bathing. The shaver support shaving with beard balm or without beard balm for wet or dry shave. With two step disassemble heads is easier to clean than the 5 blade shavers which is difficult to clean the center head. You can use the brush to clean it or wash the whole body in water.5 IN 1 Razors & Bald Men Shaver: Our men's shaver has 5 removable heads, including electric shaver, hair clipper with 3, 6, 9mm guide combs, nose hair trimmer, facial cleansing & exfoliating brush which can meet your different needs for body shaving, grooming and facial cleansing. It is also a great head shaver for bald men, very convenient for hair trimming with 3 guide combs. When beard or hair is too long, you can use hair clipper head first, then use the shaver, it will get better effect.Large Storage Space & Ergonomically Design: Compare with 5 blade heads shaver, this electric shavers for men has larger storage space that is more suitable for shaving head and beard, especially benefit for people with thick hair. The handle with ergonomic design is comfortable to hold and control. 360 shave, difficult parts can also be easily shaved, gives you a more controlled shave experience.",21-May-20,https://m.media-amazon.com/images/I/61rFT8nig2L._AC_UL320_.jpg,44.99,4.4,2274,"Head Shaver,Teamyo Head Shavers for Bald Men,5D Floating Electric Shaver for Men, 5 in 1 Bald Head Shaver with Hair Clippers Nose Hair Trimmer Facial Cleansing &amp; Exfoliating Brush",https://www.amazon.com/Electric-Waterproof-Floating-Cleansing-Exfoliating/dp/B089218DWR/ref=sr_1_59?dchild=1&keywords=Shaver&qid=1614357289&sr=8-59,0.15
B01D328BG6,7.09 x 8.07 x 2.36,3,#224 in Beauty & Personal Care  #1 in Men's Electric Shavers,Philips Norelco,Amazon,"The Philips Norelco OneBlade is a revolutionary electric grooming tool with technology designed for men who wear stubble, beards, or facial hair styles; OneBlade trims, edges, and shaves any length of hairReplaceable OneBlade lasts up to 4 month (For best shaving experience; Based on 2 full shaves per week; Actual results may vary)Rechargeable OneBlade can trim, edge, and shave any length of hairThe dual sided blade for precise edging to line up your style easier than ever beforeRechargeable OneBlade can trim, edge, and shave any length of hair",n/a,https://m.media-amazon.com/images/I/71TTWTnZhpL._AC_UL320_.jpg,34.95,4.6,37437,"Philips Norelco OneBlade Hybrid Electric Trimmer and Shaver, FFP, QP2520/90",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A04129652DEDPVYPSXHDO&url=%2FPhilips-Norelco-OneBlade-QP2520-90%2Fdp%2FB01D328BG6%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3DShaver%26qid%3D1614357289%26sr%3D8-1-spons%26psc%3D1&qualifier=1614357289&id=4876382509223315&widgetName=sp_atf,0.71375
B08CGY2XLJ,7.68 x 4.06 x 3.11,3,"#18,338 in Beauty & Personal Care  #37 in Men's Foil Shavers",Vifycim,Adhope Direct Store,"SMOOTH & CLOSE MENS ELECTRIC SHAVER: The mens electric razors shaver with precision blades technique adapts to the contours of the face, neck and even the jaw. Floating dual-track foil and precision blades for fast and effective shaving. 3-direction flex heads adapt to the facial contour perfectly, give you a close-fitting skin contact. You'll catch more beard at one time. Rounded edges move smoothly over skin to reduce irritation, give you a smooth, close and comfortable experience.WET AND DRY & EASY TO CLEAN The whole body of the electric razor is waterproof, allows you to use this electric shaver whether wet or dry. Enjoy your dry shaving when sitting on sofa, or do a comfortable shaving in shower. The rotary electric shaver easily adapts to either shaving foam or gel for a smoothier and closer shaving experience.! Plus, this electric shaver is washable and easy to clean, that means including head and body of this electric razor can be washed directly by water.LED DISPLAY&USB CHARGER: The LED Display reminds you about the battery capacity, charging status, Travel lock. It shows you the residual electricity remain from 0%-100%. The Travel lock indicator will light up when it is locked for safety. The electric razors come with a USB cable(NO USB adapter), you can charge the electric shaver with any DC5V power source, up to about 1 hours of shaving time after about 2 housr charging. Perferct and convenient for every businessman and travelers.ERGONOMIC & CONVENIENTThe electric shaver is not only easy to use but also compact and portable. Ergonomic design allows the electric razor can be held in one hand and meet all of your needs for shaving. All in all, the electric razor for men is perferctly made for home, office, or on-the-go use. Keep one in your bathroom, briefcase, or office desk!PERFECT GIFT: The electric razor for men with beautiful modern looking and smart design, it is perfect gift for father,husband,boyfriend and son for for Christmas,Birthday,Valentines Day, Fathers Day or any other special occasion.It is sure to make impression",n/a,https://m.media-amazon.com/images/I/71Nofvn8MvL._AC_UL320_.jpg,33.96,4.2,36227,"Vifycim Electric Shavers for Men, Mens Electric Razor, Dry Wet Waterproof Man Rotary Facial Shaver Portable Face Shaver Cordless Travel USB Rechargeable Led Display for Dad Husband Shaving",https://www.amazon.com/Vifycim-Electric-Waterproof-Portable-Rechargeable/dp/B08CGY2XLJ/ref=sr_1_54?dchild=1&keywords=Shaver&qid=1614357289&sr=8-54,0.599375
B07SZG537S,n/a,1,"#4,743 in Beauty & Personal Care  #8 in Men's Foil Shavers",n/a,Amazon,n/a,n/a,https://m.media-amazon.com/images/I/81fqnw0OghL._AC_UL320_.jpg,119.99,4.7,2310,BaBylissPRO Barberology Cordless Metal Double Foil Shaver,https://www.amazon.com/BaBylissPRO-Foilfx02-Cordless-Metal-Gold/dp/B07SZG537S/ref=sr_1_53?dchild=1&keywords=Shaver&qid=1614357289&sr=8-53,0
B07Y538VJS,3.4 x 2.9 x 7.2,2,"#14,852 in Beauty & Personal Care  #31 in Men's Rotary Shavers",MOOSOO M,MOOSOODirect,"A SMOOTH AND CLOSE SHAVE With 4-direction floating heads, the 3D rotary shaver automatically adapts to the contours of the face, neck and even the jaw, This electric shaver for men provides a comfortable and close shave everytime, the premium quality high speed motor is not only efficient but quiet as well so you can enjoy every moment shaving.WET AND DRY & FULL WATERPROOF The IPX7 body is waterproof and allows you to use the electric shaver whether wet or dry including even in the shower. This electric razor for face easily adapts to either shaving foam or gel for a better and closer shaving experience.USB QUICK-CHARGING & LED DISPLAY Enjoy up to about 100 minutes of shaving (or approximately 30 full shaves). The shaver only requires 1 hour to charge and is very convenient for your daily and for travel. This razor comes with LED battery display(charging state of the battery is displayed in percent), so you can quickly see exactly how much power you have left before needing to charge.POP-UP TRIMMER & ONE TOUCH OPEN Skin-friendly and convenient pop-up beard trimmer easily trims sideburns, moustache and any facial hairstyle. The razor also features an easy one-touch open tab to quickly trim unwanted facial hair.Best Budget Shaver A better price than other electric razors, with better performance. This electric shaver for teen boys and man must be a great gift for your dad father, husband, boyfriend and son, MOOSOO brand assures that will provide with 24 months of worry-free service, one year of exchange service and 24-hour professional customer solution from the date of purchase.",20-Sep-19,https://m.media-amazon.com/images/I/71yUAVyQYmL._AC_UL320_.jpg,25.99,4.1,2015,"MOOSOO Electric Razor, Rechargeable Electric Shaver 100% Waterproof Wet &amp; Dry Rotary Shavers for Men Electric Shaving Razors with Pop-up Trimmer, LED Display 100 Mins Battery Life for Shaving, G2",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02158061SF60ENT4ZHLW&url=%2FMOOSOO-Electric-Rechargeable-Waterproof-Cordless%2Fdp%2FB07Y538VJS%2Fref%3Dsr_1_3_sspa%3Fdchild%3D1%26keywords%3DShaver%26qid%3D1614357289%26sr%3D8-3-spons%26psc%3D1&qualifier=1614357289&id=4876382509223315&widgetName=sp_atf,0.4
B07HYYKGL9,3.08 x 6.04 x 9.6,6,"#16,540 in Beauty & Personal Care  #35 in Men's Foil Shavers",Wahl,"BTG Seller, LLC","Power & Convenience - This travel-friendly rechargeable wet/dry electric shaver is shower & waterproof up to one meter. It features flexible foil cutters, a no-slip grip, travel lock, & smart charge meter with 4 LED levels to indicate battery lifeLithium Ion Power - This durable electric shaver features a lithium ion battery with a 90-minute run time from 60 minutes of charging, plus a 5-minute quick charge option. The battery and can go up to one year between chargesAdvanced Foil Technology  Flexible foils move with you, providing a more comfortable shave, our advanced foil pattern provides smooth shaves & features a long hair cutter bar; Groomsman electric beard shaver is water & shower proof up to 1 meterA Smooth Shave Every Time - Wahl clippers, trimmers, & shavers are available in a variety of styles to meet your home hair cutting needs. From Lithium Ion cordless & rechargeable clippers to heavy-duty corded modelsThe Brand Used by Professionals - Wahl clippers & trimmers have been used by professionals in the salon & barber industry since 1919. With self-sharpening precision blades & quality construction, Wahl clippers, shavers & trimmers deliver a smooth shaveNote: The Travel lock mode must be disables prior to use by plugging in the shaver to charge. Refer to quick start guide.",n/a,https://m.media-amazon.com/images/I/81DhF-5v4bL._AC_UL320_.jpg,34.99,4.2,264,Wahl Groomsman Electric Shaver Rechargeable Wet/Dry Waterproof Electric Razor for Cordless Men's Grooming - Lithium Ion with Long Run Time &amp; Quick Charge – Model 7063,https://www.amazon.com/Groomsman-Electric-Rechargeable-Waterproof-Grooming/dp/B07HYYKGL9/ref=sr_1_51?dchild=1&keywords=Shaver&qid=1614357289&sr=8-51,0.99
B00BB5YHEI,n/a,0,"#1,134 in Beauty & Personal Care  #3 in Men's Foil Shavers",Remington,Amazon,Intercept shaving technology pre trims longer hairsPivot and Flex Foil Technology Stays close to skin for smooth resultsRechargeable battery 60 minutes of cordless runtimePop up Detail Trimmer For finishing touches on your facial hair and sideburnsEasy to Clean Washable under the faucet; Charging time 2 hours; Voltage: Worldwide,n/a,https://m.media-amazon.com/images/I/81gr7s6zTIL._AC_UL320_.jpg,41.71,4.4,13238,"Remington F5-5800 Foil Shaver, Men's Electric Razor, Electric Shaver, Black",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09350551IZM14TSOB5LN&url=%2FRemington-F5-5800-Shaver-Electric-Razor%2Fdp%2FB00BB5YHEI%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3DShaver%26qid%3D1614357289%26sr%3D8-2-spons%26psc%3D1&qualifier=1614357289&id=4876382509223315&widgetName=sp_atf,0
