ASIN,Dimensions,activeseller,bestseller,brand,buybox,firstdate,img,price,rating,reviews,title,url,weight
B07Y8KN5QD,7.48 x 2.48 x 1.22 inches,,#330 in Office Products (See Top 100 in Office Products)#1 in Fountain Pens,Asvine Store,Asvine Pen,"October 8, 2019",https://m.media-amazon.com/images/I/51GbTy1IdeL._AC_UL320_.jpg,$15.99,4.5 out of 5 stars,"8,171",Matte Black Forest Fountain Pen Extra Fine Nib Classic Design with Converter and Metal Pen Box Set by Hongdian,https://www.amazon.com/Forest-Fountain-Classic-Converter-Hongdian/dp/B07Y8KN5QD/ref=sr_1_5?dchild=1&keywords=pen&qid=1612760241&sr=8-5,2.89 ounces
B08BX66VLD,7.59 x 3.14 x 0.62 inches,5,#105 in Office Products (See Top 100 in Office Products)#7 in Gel Ink Pens,SHARPIE Store,,"September 1, 2020",https://m.media-amazon.com/images/I/81y-ltNKZhL._AC_UL320_.jpg,$5.27,4.7 out of 5 stars,"4,691","Sharpie S-Gel, Gel Pens, Medium Point (0.7mm), Pearl White Body, Black Gel Ink Pens, 4 Count",https://www.amazon.com/Sharpie-S-Gel-Medium-Point-0-7mm/dp/B08BX66VLD/ref=sr_1_6?dchild=1&keywords=pen&qid=1612760241&sr=8-6,1.9 ounces
B082PMS7TB,7 x 3.25 x 7.63 inches,12,#83 in Office Products (See Top 100 in Office Products)#4 in Gel Ink Pens,SHARPIE Store,,"January 1, 2020",https://m.media-amazon.com/images/I/81zZ+su2wGL._AC_UL320_.jpg,$4.75,4.7 out of 5 stars,"15,727","Sharpie S-Gel, Gel Pens, Medium Point (0.7mm), Assorted Colors, 4 Count",https://www.amazon.com/Sharpie-S-Gel-Medium-Assorted-Colors/dp/B082PMS7TB/ref=sr_1_7?dchild=1&keywords=pen&qid=1612760241&sr=8-7,2.08 ounces
B082PN4X5J,1.1 x 2.88 x 5.86 inches,1,#56 in Office Products (See Top 100 in Office Products)#2 in Gel Ink Pens,SHARPIE Store,,"January 1, 2020",https://m.media-amazon.com/images/I/81I7k7Oj6rL._AC_UL320_.jpg,$11.99,4.7 out of 5 stars,"19,768","Sharpie S-Gel, Gel Pens, Medium Point (0.7mm), Black Ink Gel Pen, 12 Count",https://www.amazon.com/Sharpie-S-Gel-Medium-Point-0-7mm/dp/B082PN4X5J/ref=sr_1_8?dchild=1&keywords=pen&qid=1612760241&sr=8-8,5.3 ounces
B0030F32L6,2.81 x 1.34 x 0.22 inches,20,"#1,783 in Office Products (See Top 100 in Office Products)#59 in Gel Ink Pens",PILOT Store,,"January 1, 2007",https://m.media-amazon.com/images/I/81QSbCbqQGL._AC_UL320_.jpg,$5.53,4.8 out of 5 stars,"3,290","PILOT G2 Premium Refillable &amp; Retractable Rolling Ball Gel Pens, Fine Point, Black Ink, 4-Pack (31057)",https://www.amazon.com/Pilot-Retractable-Premium-Roller-Point/dp/B0030F32L6/ref=sr_1_9?dchild=1&keywords=pen&qid=1612760241&sr=8-9,3.52 ounces
B0772XSNXY,6.6 x 6.2 x 0.6 inches,4,#38 in Office Products (See Top 100 in Office Products)#1 in Drawing Pens#1 in Porous-Point Pens,iBayam Store,iBayamDirect,"November 1, 2017",https://m.media-amazon.com/images/I/71i8ORESpHL._AC_UL320_.jpg,$9.98,4.7 out of 5 stars,"43,802","iBayam Journal Planner Pens Colored Pens Fine Point Markers Fine Tip Drawing Pens Porous Fineliner Pen for Bullet Journaling Writing Note Taking Calendar Coloring Art Office School Supplies, 18 Colors",https://www.amazon.com/Fineliner-Journaling-Calendar-Coloring-Supplies/dp/B0772XSNXY/ref=sr_1_10?dchild=1&keywords=pen&qid=1612760241&sr=8-10,3.84 ounces
B086R5D5C2,7 x 4.5 x 0.3 inches,2,#925 in Office Products (See Top 100 in Office Products)#1 in Technical Pens,Mr. Pen Store,Mr. Pen,"April 3, 2020",https://m.media-amazon.com/images/I/81OyQyQL06L._AC_UL320_.jpg,$6.25,4.4 out of 5 stars,187,"Mr. Pen- Fineliner Pens, 12 Pack, Pens Fine Point, Colored Pens, Journal Pens, Bible Journaling Pens, Journals Supplies, School Supplies, Pen Set, Art Pens, Writing Pens, Fine Tip Markers, Bible Pens",https://www.amazon.com/Mr-Fineliner-Journals-Supplies-Pen/dp/B086R5D5C2/ref=sr_1_11?dchild=1&keywords=pen&qid=1612760241&sr=8-11,2.39 ounces
B08FBK48GY,,2,"#8,440 in Office Products (See Top 100 in Office Products)#205 in Ballpoint Pens",Mr. Pen Store,Mr. Pen,"August 5, 2020",https://m.media-amazon.com/images/I/61-45hRqiXL._AC_UL320_.jpg,$11.95,4.7 out of 5 stars,78,"Mr. Pen- Luxury Pen, Fancy Pens, Executive Pens, Bible Pen, Pens, Gift Pen, Pen for Gift, Nice Pens, Pen Gift, Writing Pens, Personalized Pen, Fancy Pen Gift, Pen Gift Set, Pens for Men",https://www.amazon.com/Mr-Pen-Executive-Writing-Personalized/dp/B08FBK48GY/ref=sr_1_12?dchild=1&keywords=pen&qid=1612760241&sr=8-12,3.66 ounces
B001ATEXSU,7.3 x 2.5 x 0.5 inches,15,#977 in Office Products (See Top 100 in Office Products)#30 in Gel Ink Pens,PILOT Store,,"September 12, 2006",https://m.media-amazon.com/images/I/71LphquBo5L._AC_UL320_.jpg,$5.94,4.6 out of 5 stars,"4,539","PILOT Dr. Grip Limited Refillable &amp; Retractable Gel Ink Rolling Ball Pen, Fine Point, Assorted Barrel, Black Ink, Single Pen, Color May Vary (36274)",https://www.amazon.com/Pilot-Limited-Retractable-Rolling-36274/dp/B001ATEXSU/ref=sr_1_13?dchild=1&keywords=pen&qid=1612760241&sr=8-13,0.8 ounces
B08R98TDS4,4 x 2 x 0.25 inches,,"#17,218 in Office Products (See Top 100 in Office Products)#138 in Ink Pen Refills",Generic,TSonline,"December 24, 2020",https://m.media-amazon.com/images/I/61tB0drNZTL._AC_UL320_.jpg,$6.99,4.3 out of 5 stars,6,"6 pack - TikiPen BLACK Parker Compatible Ballpoint Pen Refills. Smooth Writing German Ink and 1mm Medium Tip… (Parker 6, Black)",https://www.amazon.com/pack-TikiPen-Compatible-Ballpoint-Refills/dp/B08R98TDS4/ref=sr_1_14?dchild=1&keywords=pen&qid=1612760241&sr=8-14,0.563 ounces
B07RDGN4HD,7.05 x 2.24 x 0.67 inches,,"#1,854 in Office Products (See Top 100 in Office Products)#2 in Technical Pens",Ankaka Store,Ankaka,"May 5, 2019",https://m.media-amazon.com/images/I/61RGHz3KgjL._AC_UL320_.jpg,$10.98,4.4 out of 5 stars,"7,718","The Most Loaded 6-in-1 Tactical Pen: Solves Other Brands' Weaknesses,Self Defense Tip + Flashlight + Ballpoint + Bottle Opener + Screw Driver + Hexagonal Wrench, 5 Ink Refills + 6 Batteries + Gift Box",https://www.amazon.com/Most-Loaded-Tactical-Pen-Weaknesses/dp/B07RDGN4HD/ref=sr_1_15?dchild=1&keywords=pen&qid=1612760241&sr=8-15,2.39 ounces
B06WGMTMVM,6.44 x 4.38 x 6.13 inches,1,#654 in Office Products (See Top 100 in Office Products)#14 in Ballpoint Pens,BIC Store,,"March 7, 2017",https://m.media-amazon.com/images/I/91z7WOe3y-L._AC_UL320_.jpg,$13.99,4.8 out of 5 stars,"3,780","BIC Round Stic Xtra Life Ball Point Pen, Black, 144-Count",https://www.amazon.com/BIC-Round-Ballpoint-Medium-144-Count/dp/B06WGMTMVM/ref=sr_1_16?dchild=1&keywords=pen&qid=1612760241&sr=8-16,1.82 pounds
B08DHHV91H,7.68 x 5.91 x 1.34 inches,12,"#2,694 in Office Products (See Top 100 in Office Products)#10 in Porous-Point Pens",Paper Mate Store,,"September 1, 2020",https://m.media-amazon.com/images/I/91zaX67+X7L._AC_UL320_.jpg,$17.43,4.8 out of 5 stars,380,"Paper Mate Flair, Scented Felt Tip Pens, Assorted Sunday Brunch Scents and Colors, 0.7mm, 16 Count",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A08227872QH50KHXU9IFV&url=%2FPaper-Mate-Scented-Assorted-Sunday%2Fdp%2FB08DHHV91H%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dpen%26qid%3D1612760241%26sr%3D8-1-spons%26psc%3D1&qualifier=1612760241&id=7361190319848270&widgetName=sp_atf,5.1 ounces
