ASIN,Dimensions,activeseller,bestseller,brand,buybox,description,firstdate,img,price,rating,reviews,title,url,weight_lbs
B07B7K7N3P,23.2 x 11 x 22.8,5,#130 in Home & Kitchen #1 in Home Office Desk Chairs,Furmax Store,FlamakerDirect,"Ergonomic office chair with lumbar support mesh back for breathability.Updated thick padded Seat provide extra comfort for daily use.Bifima certification: more reliable and sturdy, maximum capacity up to 265 lbs.5 star heavy duty base with 360 degree swivel wheels, running smoothly on floors.The wing Type back support makes you sit comfortably while you work.",12-Aug-17,https://m.media-amazon.com/images/I/71ohGSWApfL._AC_UL320_.jpg,51.99,4.2,24402,"Furmax Office Mid Back Swivel Lumbar Support Desk, Computer Ergonomic Mesh Chair with Armrest (Black)",https://www.amazon.com/Furmax-Support-Computer-Ergonomic-Armrest/dp/B07B7K7N3P/ref=sr_1_2?dchild=1&keywords=chair&qid=1614191841&sr=8-2,23.6
B08R1HG6QW,20 x 24 x 37,2,#514 in Home & Kitchen #4 in Home Office Desk Chairs,PatioMage Store,PatioMage,"Premium Quality: Our office chair made of high quality nylon, mesh and plastic construction which ensure strength stability and lasting use. Whats most important things that our cushion made of upgrade memory latex material. It is super comfortable when sitting. The breathable mesh seat keep you cool when siting. Make you feel more better during working time. Work with our office chair at your office or home todayErgonomic Design: Now more and more people pay great attention to the spine healthy. So we produced the C curve design of this office chair. The computer chair back ensure proper spine alignment. In addition, it will reduce back tension and make you feel extremely comfortable. Our PatioMage office chair combines a modern minimalist design with comfort and ergonomics. It is great for everyday office and workstation chairMesh Office Chair: Our office chair have adjustable height and adjustable armrests features. And our gas lift passed the SGS, BIFMA that means more stable and safe. The 360swivel allows you to customize your position. Durable nylon base is heavy duty design to ensure safe for whole-day use. What's more, our office chair wheel made of high quality PU material which moves easily across smooth floors and carpet. Maximum capacity up to 280lbsEasy to Put Together: Are you tired of stressful assembly? Now you dont have to be worry! Our office chair make all the parts, screws and tool are in the box. Just follow the desk chair instruction, It only take about 10-15 minutes to finish. You will find our office chair is pretty simple to assembly. Putting it together is not difficultSatisfaction Guarantee: This desk chair make it a perfect for as a student chair, kids desk chair, office chair, task chair, computer chair or bedrooms chair. And this is best gift choice for yourself and friends. If you have any problems, please contact us directly on amazon. We are always here to help",7-Nov-20,https://m.media-amazon.com/images/I/61NlOM8zqbL._AC_UL320_.jpg,65.99,4.1,1291,"Office Chair,PatioMage Gaming Chair Ergonomic Mesh Computer Chair Lumbar Support Comfortable Task Chair Desk Chair for Adults Men Women (Black)",https://www.amazon.com/PatioMage-Ergonomic-Computer-Support-Comfortable/dp/B08R1HG6QW/ref=sr_1_12?dchild=1&keywords=chair&qid=1614191841&sr=8-12,2.2
B08R2TYKGW,27.56 x 27.56 x 52.56,0,"#6,836 in Home & Kitchen #17 in Video Game Chairs",Neo Chair Store,Neo chair,"[MASSAGE & RELAX] - Your back deserves MVP treatment after long hours of sitting. Plug in the USB to feel the lumbar cushion's dual vibration.[UPGRADE YOUR GAMING SETUP] - Designed to be your go-to gaming chair. We guarantee 3 things: first-rate materials, top-notch quality, and exceptional customer service.[FEEL THE DIFFERENCE] - What goes inside the seat? High-density molded foam guarantees never-failing comfort and peace.[REINFORCED DURABILITY] - Built to last years. The coated steel frame is now 0.3mm thicker to prevent any possible corrosion while providing stronger support.[MATERIALS DEFINE QUALITY] - Prime retro leather resists stains and scratches. All parts are BIFMA-certified to ensure safety and stability.[GRAB YOUR BLANKET] - The spacious backrest reclines up to 180 for peaceful nap time. Stretch your legs and relax. Lumbar and neck pillows create personalized support and fit.[BEST-IN-CLASS HYDRAULICS] - The most advanced Class IV gas lift allows the flexible and stable arrangement of height.",20-Dec-20,https://m.media-amazon.com/images/I/61vysVvgxjL._AC_UL320_.jpg,209.98,4.6,3954,Marvel Avengers Massage Gaming Chair Desk Office Computer Racing Chairs-Adults Gamer Ergonomic Game Footrest Reclining High Back Support Racer Leather Foot Rest (Deadpool),https://www.amazon.com/Avengers-Chair-Chairs-Adults-Ergonomic-Reclining/dp/B08R2TYKGW/ref=sr_1_6?dchild=1&keywords=chair&qid=1614191841&sr=8-6,46
B087MZX9W8,18.9 x 23.2 x 35.8,3,#341 in Home & Kitchen #3 in Home Office Desk Chairs,Neo Chair Store,Neo chair,"BEST IN THE MARKET: NYLON BASE & PU WHEELS - Check the difference! Cute desk chair with 2-Inch Wider base offers stability, durability for your desk computer. Upgraded nylon, PU chair casters material gives anti-shocking protection. Comfy office chair's strong elasticity allows for smooth-rolling mobility. No marks. No scratches guaranteed! Proudly present this office chair, compare to other cheap gaming computer chair!QUALITY AT THE BEST PRICE - NEO CHAIR is a professional chair manufacturer. All parts are carefully selected. Passed the highest furniture standard. Supreme quality guaranteed! Class-3 gas lift passed the BIFMA, SGS. Heavy-Duty nylon Base with maximum capacity 300 lbs. Office chair caster wheels Dual-Wheel Casters for desk and chair wheels. A sturdy chair with great stability. Deluxe 3D Air Mesh for your skin.ULTIMATE SITTING EXPERIENCE - Stain-resistant & skin-friendly 3D air mesh task chair. Breathable and resilient padded thick office seat cushion. Ventilated office chair seat cushion prevents sweating from long seating. Air circulation to keep you cool while leaning. Elastic foam with comfort chair. Armrests support your ARMS position with ergonomic stability. Extra lumbar support for your lower desk chair back support. Curve along the waistline feel like hands on waist.FULLY ADJUSTABLE CHAIR - Two modes ""tiltable or fixed"" are available! Conference room chairs provide versatility for an optimized position. Height adjustable office chair. Adjust height for your computer desks from 36.5"" - 40.5"". This modern desk chair is perfect for sewing chair, student chair, comfortable chairs for bedrooms, office essentials and kids desk chair!WARRANTY & GUARANTEE - Customer satisfaction is our top priority. With our desktop computer desk chair, we guarantee 100% customer satisfaction rate. Our customer service team is always here for you! If you are not satisfied with our computer chair mesh, please contact NEO CHAIR. We provide quality cheap office chairs for your home office furniture sets and gaming table.",23-Apr-20,https://m.media-amazon.com/images/I/71+P9c1LxoL._AC_UL320_.jpg,69.98,4.3,8006,"NEO CHAIR Office Chair Ergonomic Desk Chair Mesh Computer Chair Lumbar Support Modern Executive Adjustable Rolling Swivel Chair Comfortable Mid Black Task Home Office Chair, Black-Fabric",https://www.amazon.com/Chair-Ergonomic-Adjustable-Comfortable-Black-Fabric/dp/B087MZX9W8/ref=sr_1_3?dchild=1&keywords=chair&qid=1614191841&sr=8-3,22
B08L6YD2L4,36.5 x 36.5 x 4,0,"#17,277 in Home & Kitchen #10 in Living Room Chairs",Milliard Store,Home Wise,"Cozy And Comfy: Whether youre reading your favorite novel, watching a new TV show, or even doing homework, this furry chair is just what you need to make everything more fun.Holds Up To 265 Pounds: The extra-large chair size makes it great for children, teens, and adults. Get one now and cozy up!Makes A Great Gift: If youre looking for that perfect gift for your loved one, you just found it. Ideal for dorms, apartments, game rooms and more, this is a present that will be used and appreciated again and again.Service And Care: When you purchase Milliard, you can relax knowing you have a dedicated team of real people ready to help you with any questions or concerns you may have. If your chair gets dirty, simply spot clean it with a moist cloth or sponge, warm water, and a mild detergent.Quick And Easy: Enjoy your new chair as soon as it arrives! Folds for convenient storage and easy transportation  because youll never want to be without it once you try it. Features faux fur fabric on a sturdy metal frame and measures 38 x 25 x 34.",14-Oct-20,https://m.media-amazon.com/images/I/81aFMDzPzXL._AC_UL320_.jpg,99.99,4.7,474,Milliard Cozy Chair/Faux Fur Saucer Chair for Bedroom/X-Large (Pink),https://www.amazon.com/Milliard-Chair-Saucer-Bedroom-X-Large/dp/B08L6YD2L4/ref=sr_1_13?dchild=1&keywords=chair&qid=1614191841&sr=8-13,16.72
B087M2P8X2,20.98 x 22 x 33.98,5,"#1,360 in Home & Kitchen #1 in Computer Gaming Chairs#8 in Home Office Desk Chairs",Neo Chair Store,Neo chair,"2019 UPDATES& ANNOUNCEMENT -  The size of this white desk chair is relatively small . Please check the size carefully before purchasing this modern office chair. Seat size: 18.5""x19.76"" / Back size: 16.37""x16.81"". Upgraded armrests material. Increased resistance & durability. Office desk chair with Anti-shock protection even at -4! QUALITY AT THE BEST PRICE - NEO CHAIR is a professional chair manufacturer. All parts are carefully selected. Passed the highest furniture standard. Supreme quality guaranteed! Class-3 gas lift passed the BIFMA, SGS. Heavy-Duty Metal Base with maximum capacity 250 lbs. Office chair caster wheels Dual-Wheel Casters for desk and chair wheels. A sturdy chair with great stability. Deluxe 3D Air Mesh for your skin. ULTIMATE SITTING EXPERIENCE - Stain-resistant & skin-friendly 3D air mesh task chair. Breathable and resilient padded thick office seat cushion. Ventilated office chair seat cushion prevents sweating from long seating. Air circulation to keep you cool while leaning. Elastic foam with comfort chair. Armrests support your ARMS position with ergonomic stability. Extra lumbar support for your lower desk chair back support. Curve along the waistline feel like hands on waist. FULLY ADJUSTABLE CHAIR - Two modes ""tiltable or fixed"" are available! Conference room chairs provide versatility for an optimized position. Height adjustable office chair. Adjust height for your computer desks from 36.5"" - 40.5"". This modern desk chair is perfect for sewing chair, student chair, comfortable chairs for bedrooms, office essentials and kids desk chair! WARRANTY & GUARANTEE - Customer satisfaction is our top priority. With our desktop computer desk chair, we guarantee 100% customer satisfaction rate. Our customer service team is always here for you! If you are not satisfied with our computer chair mesh, please contact NEO CHAIR. We provide quality cheap office chairs for your home office furniture sets and gaming table.",27-Jul-20,https://m.media-amazon.com/images/I/71NBGnCOkZL._AC_UL320_.jpg,74.98,4.1,4456,NEO CHAIR Office Chair Computer Desk Chair Gaming - Ergonomic Mid Back Cushion Lumbar Support with Wheels Comfortable Blue Mesh Racing Seat Adjustable Swivel Rolling Home Executive (Grey),https://www.amazon.com/CHAIR-Office-Chair-Computer-Gaming/dp/B087M2P8X2/ref=sr_1_4?dchild=1&keywords=chair&qid=1614191841&sr=8-4,21.5
B07DFG47K9,28.15 x 20.67 x 44,0,"#3,023 in Home & Kitchen #17 in Home Office Desk Chairs",Neo Chair Store,Neo chair,"COMFORT FOR YOUR PRODUCTIVITY - Ergonomic office chair design with double-layered cushions for chairs. High elasticity pocket spring seat. 30~50% thicker desk chair cushion than the regular seat. A thick contoured headrest office chair & back. Continuous comfort for long hours of gaming or working. Higher density, better elasticity, stronger resilience! Perfect match for your gaming table & computer desks. 2019 UPDATES& ANNOUNCEMENT - Upgraded quality PU wheels! One of the best selling office chairs for your executive desk. The cute desk chair with detail provided by the stitching looks incredibly cool. Bulk purchase opportunities & cheap gaming chair for the business customer! Get your desk chair back support & adjustable chair now! LUXURY LOOK OF A LEATHER - Fine leather office chair and details of design sophistication. Skin-friendly and soft racing chair. High-quality premium faux leather chair for prolonged sitting. Soft premium leather pad for armrests. Extremely strong office desk chair, ultra-lightweight best office chair, durable & easy to clean racing gaming chair. Resists corrosion, stains, water, fading, and scratches. Upscale your conference room chairs & modern desk chair. SMOOTH ROLLING & STURDY BASE - Class-A durable nylon office chair caster wheels roll easily. Smooth-rolling gaming desk chair on any kind of floor. Passed BIFMA 200,000 rolling test. The heavy-duty metal base for heavy duty office chair. weight capacity of up to 300 lbs. The most castersced based in the market. Great stability and durability gaming computer chair! WARRANTY & GUARANTEE - Customer satisfaction is our top priority. We guarantee 99.76% customer satisfaction rate. (order defect rate is 0.24%). with our Professionalism and speedy response. Our customer service team is always here for you! If you are not satisfied with our gamer chairs for adults & modern office chair, please contact at NEO CHAIR.",6-Oct-20,https://m.media-amazon.com/images/I/712qSvffXqL._AC_UL320_.jpg,134.98,4.3,3214,NEO Chair Office Chair Computer Desk Chair Gaming - Ergonomic High Back Cushion Lumbar Support with Wheels Comfortable Leather Racing Seat Adjustable Swivel Rolling Home Executive (Brown),https://www.amazon.com/NEO-CHAIR-Executive-Leather-Computer/dp/B07DFG47K9/ref=sr_1_7?dchild=1&keywords=chair&qid=1614191841&sr=8-7,33.5
B084PZTZWY,44.9 x 44.9 x 33.5,88,"#33,522 in Home & Kitchen #30 in Living Room Chairs",Better Homes,BestVerifiedProducts,"Soft cushion is 4.5'' thick with fleecy, Sherpa-style top and welted sidesSherpa-style cushion has a fuzzy, fleecy textured top that provides a cozy place to rest, read, socialize, or studyBrown steel frame is accented with faux wicker accents for a casual, boho lookHand wash only, non-chlorine bleach when needed, lay flat to dry. Cool iron if necessary. Do not dry cleanRound papasan chair measures 44.9'' L x 44.9'' W x 33.5'' H",12-Feb-20,https://m.media-amazon.com/images/I/91gzRxnei3L._AC_UL320_.jpg,150,4.5,399,Better Homes &amp; Gardens Papasan Chair with Fabric Cushion (Pumice Gray),https://www.amazon.com/Better-Homes-Gardens-Papasan-Cushion/dp/B084PZTZWY/ref=sr_1_5?dchild=1&keywords=chair&qid=1614191841&sr=8-5,0
B08P8JKN6J,21.2 x 23.4 x 39.7,2,"#1,080 in Home & Kitchen #6 in Home Office Desk Chairs",FDW Store,Amazon.com,"Easy To Assemble - We provide all the tools and the detailed instructions for you. No additional tools needed for assembly. For your convenience, all screws have extra backups. It is easy to assemble this office chair by yourself at home.Ergonomic Design - Designed with human-oriented ergonomic construction.streamlined armrests fit the curve of your arms,allowing you to sit comfortably on a work chair. The locking mechanism is easy to adjust the height, keep the back upright, can take care of your lumbar spine, help prevent back strain and muscle fatigue.Breathable Padding Seat - the padded mesh Seat is thick and resilient. Made of high Quality thick sponge and breathable mesh clothes, prevent body heat and keep your hip and legs sweat-free.Lumbar Support - Our mid back chair we use resilient, strong mesh which moulds to your lower back, alongside the waist pillow offering superior support, protecting your lower back and promoting better spinal alignment.Quality Assurance - All the accessories of our office chair have passed the test of BIFMA, which is a guarantee for your personal safety. The mesh chair can bear the weight of 250lbs. Office chair computer chair desk chair.",28-Nov-20,https://m.media-amazon.com/images/I/71ilabF2PPL._AC_UL320_.jpg,49.99,4.3,3286,"Home Office Chair Ergonomic Desk Chair Mid-Back Mesh Computer Chair Lumbar Support Comfortable Executive Adjustable Rolling Swivel Task Chair with Armrests,Black",https://www.amazon.com/Home-Office-Chair-Comfortable-Adjustable/dp/B08P8JKN6J/ref=sr_1_10?dchild=1&keywords=chair&qid=1614191841&sr=8-10,21
B07VXPWCN8,23 x 20 x 55,0,"#2,431 in Home & Kitchen #6 in Video Game Chairs",Dowinx Store,Dowinx US,"ERGONOMIC DESIGN Linkage armrest design gaming chair with USB cable power supply massager that can drive by a USB port on computer, car, power switch or even power bank. Best masseur for users who need to sit for a long time. Vintage leather style matches all locations.MULTI FUNCTION 360 swivel and smooth racing caster wheels for mobility; 90-180 reclining for working, gaming, reading or napping; 20 controllable rocking and retractable footrest for relaxing; Adjustable seat height, 350 lbs capacity; head pillow and lumbar pillow for all body shapes.FOR BOTH GAMER AND OFFICE WORKER Winged back provides multi-point body contact to share the pressure, save your spine and lumbar with ergonomic back and massage support. Lean your legs more comfortable with bucket seat design, the side wings frame has been thinned and contains more soft filling.STURDY CONSTRUCTION & ECO FRIENDLY MATERIAL Alloy frame covered in quality hand sewing PU leather and 6 inches high density foam for comfy. Upgraded LANT gas cylinder and mechanism ensure the use age of the chair.INSTALLATION AND AFTER SELL SERVICESDetail instruction manual included in the package. 24/7 customer services team all for shopping experience. One-month replacement services and 1 year parts quality warranty as promise.",2-Aug-19,https://m.media-amazon.com/images/I/81Ddh54rbQL._AC_UL320_.jpg,239.99,4.4,3729,"Dowinx Gaming Chair Office Chair PC Chair with Massage Lumbar Support, Racing Style PU Leather High Back Adjustable Swivel Task Chair with Footrest (Black&amp;Red)",https://www.amazon.com/Dowinx-Massage-Support-Adjustable-Footrest/dp/B07VXPWCN8/ref=sr_1_19?dchild=1&keywords=chair&qid=1614191841&sr=8-19,50.6
