ASIN,Dimensions,activeseller,bestseller,brand,buybox,description,firstdate,img,price,rating,reviews,title,url,weight_lbs
B07NNTDXSB,7.75 x 7.75 x 10.4,14,"#5,546 in Patio, Lawn & Garden #174 in Pest Control Traps",DynaTrap,Amazon,"Outdoor insect trap provides 3 layers of protection against flying pest insectsUV light and whisper quiet fan attract and trap insects without zappingDurable, lightweight, and portable design allow for easy set up and outdoor useEffectively protects up to  acre of your property",n/a,https://m.media-amazon.com/images/I/81SW-JGx4XL._AC_UL320_.jpg,50.39,3.8,1606,DynaTrap ¼ Acre Outdoor Mosquito and Insect Trap – Black,https://www.amazon.com/DynaTrap-Outdoor-Insect-Trap-Black/dp/B07NNTDXSB/ref=sr_1_10?dchild=1&keywords=mosquito+trap&qid=1614367960&sr=8-10,1
B08RHSFP7W,5.55 x 3.62 x 0.71,1,"#1,480 in Patio, Lawn & Garden #70 in Pest Control Traps",SHOPXOH,"KHARMA KARDS, LLC.","Double-Sided Sticky TrapsOur yellow sticky traps are great in Integrated Pest Management and trap whitefly, thrips, leafhoppers and aphids, suitable for greenhouses, gardens or orchards. Use indoor on houseplants for fungus gnats and even fruit flies, will not attract beneficial insects. Unique Design The sharp bottom is not sticky, this can prevent the gnat trap from sticking to your hands when you remove the cover film and insert it into the soil. Non-Toxic & Eco-Friendly Fruit Fly Trap Harmless to humans and pets, don't worry about hurting your children and pets. Sun-proof & water-proof: our fruit fly traps are designed for all year round use. Designed in 6 Different PatternsButterfly, Sun Flower, Carrot, Bird, Cat, Tulip, each pattern come in 4 pcs, total 24 pcs. The cute shape make the fly trap become a decoration for your potted plants. Effective Fruit Fly Traps & Easy Installation 1. Hold the sharp bottom of the fly paper and then gently peel off the tape on both sides. 2. Insert the bottom of the fly paper into the dirt. Each paper can be used until both sides are fully covered with insects.",n/a,https://m.media-amazon.com/images/I/61XwoomOc8L._AC_UL320_.jpg,8.99,4.8,38,"24 Pack Yellow Sticky Traps for Indoor Outdoor Natural Pest Control, Fruit Fly Trap and Yellow Fungus Gnat Traps for House Plants, Whitefly, Mosquito Bits, Flying Insects, Fly Traps Save Your Plants",https://www.amazon.com/Outdoor-Natural-Control-Whitefly-Mosquito/dp/B08RHSFP7W/ref=sr_1_13?dchild=1&keywords=mosquito+trap&qid=1614367960&sr=8-13,0.19375
B0861295JF,7.6 x 6.69 x 12.2,3,"#166 in Patio, Lawn & Garden #1 in Bug Zappers",HEMIUA,HEMIUA Direct,"The electronic mosquito killer use a high-effective ultravioletlight to attract mosquitoes, flies and gnat, then the flying insects are trapped and electrocuted by the electrically charged metal grids, offering you a comfortable and quiet environment.Use 15W bulb attracts flying insect into the mosquito zapper, with the help of an internal 4200V electric grid could instantly killing them off, the internal grid is fenced with a plastic housing to prevent your finger from accidental contact.Help you get rid of flying pests in outdoor living areas. Only with the effect of current, which electrocutes flying insects on contact with the electrified surface. Well-built with weather-resistant and waterproof housing make it can be use outdoor all year round.The coverage area for this high-powered electric bug zapper up to 1000 sq ft. Ideal for use in home, balcony, garden and courtyard. Design with a convenient hanging ring allows you to hang it on the tree or the porch of the house.A removable tray helps to collect the insect debris, just disassemble it to clean the pest bodies and easy to assemble it back. The small brush makes cleaning more simpler and convenient.",n/a,https://m.media-amazon.com/images/I/71M+i5WWZsL._AC_UL320_.jpg,39.99,4.6,13032,"HEMIUA Bug Zapper for Outdoor and Indoor, Waterproof Insect Fly Pest Attractant Trap, 4200V Powered Electric Mosquito Zappers Killer for Backyard, Patio (Black)",https://www.amazon.com/HEMIUA-Zapper-Pro-Outdoor-Mosquito/dp/B0861295JF/ref=sr_1_6?dchild=1&keywords=mosquito+trap&qid=1614367960&sr=8-6,2.36
B08C7YRNPK,12 x 7 x 6,5,"#209 in Patio, Lawn & Garden #2 in Bug Zappers",SEVERINO,TOLOCO MAX,"The mosquito trap uses hyacinthine light to attract mosquitoes, gnats, Aedes mosquitoes,flies, moths and other insects. Then the high voltage grid will trap and electrocute these insects immediately, provides a healthy and comfortable environment for youHyacinthine light to attract flying insects means non-toxic and chemical-free reagent. Electric shock only when mosquitoes touch, and the plastic housing prevents accidental finger touch. So you don't have to worry about it hurting your family or petsThe coverage area of this bug zapper is up to 1500 sq ft. It can be used at home, balcony, courtyard, garden, etc. The plastic top and shell make it durable even when working outdoorsHanging hoop make it convenient to hang on the tree, porch and everywhere you want. The flat bottom also makes it stable on the table and ground. You don't need to wave like an mosquito swatter, and you dont have to endure the smell of mosquito coils, you can get rid of the mosquitoesRemovable bottom tray collects the insect debris, please clean it regularly. The matching brush make it easy to clean",n/a,https://m.media-amazon.com/images/I/71G0bZtO4SL._AC_UL320_.jpg,39.99,4.7,8112,"SEVERINO Bug Zapper Outdoor Electric, Insect Fly Traps, Mosquito Zappers, Mosquito Killer for Patio",https://www.amazon.com/Zapper-Outdoor-Electric-Mosquito-Zappers/dp/B08C7YRNPK/ref=sr_1_7?dchild=1&keywords=mosquito+trap&qid=1614367960&sr=8-7,2.42
B07DJ6B165,12.99 x 4.72 x 11.02,4,"#3,426 in Patio, Lawn & Garden #10 in Bug Zappers",MOSTATTO,JKKH STORE-US,"Kill Insects Quickly - this bug zapper works more effective without waiting for a few weeks.The insect killer effective kills mosquitoes, black flies and other small flying pests in the dark by providing a bug-free comfort zone.Suitable for all Place - Insect killers can be used in a variety of place,such as bedrooms, offices, study rooms, kitchens, nurseries, and any other place where insects need to be killed.Friendly to Humans and Pets - Free of chemicals and noise,The sound is not detected by the ear and therefore does not interfere with or stimulate humans, cats and dogs.Our bug zapper is harmless and safe for your human and pets. Does no harm to your living environment neither!Fully Automatic Switch - The Electric mosquito zapper is with the sensor, no need to worry about even if you forget to turn the mosquito zapper on/off, the bug zapper will turn on automatically at night and turn off automatically in the daytime.100% Satisfaction and Quality Guarantee - We provide 12 months product warranty and 24*7friendly customer support for any purchase from us.",n/a,https://m.media-amazon.com/images/I/61jAVT0x0BL._AC_UL320_.jpg,21.99,4.3,736,"2 Pack Bug Zapper Indoor Plug in, Electric Mosquito Zapper Lamp for Home, Mosqutio Trap and Insect Killer Eliminates Flying Pests",https://www.amazon.com/MOSTATTO-Zapper-Electric-Mosquito-Zappers/dp/B07DJ6B165/ref=sr_1_12?dchild=1&keywords=mosquito+trap&qid=1614367960&sr=8-12,0.48125
B08FCD559C,10.47 x 6.06 x 5.24,0,"#31,571 in Patio, Lawn & Garden #560 in Pest Control Traps",Tuzeasa,Mosquito Bye Bye,"Powerful and effective that 20 LEDs emit light with a wavelength of 365NM395, which is deadly attractive to insects, insects flew towards the lights near the air intake and the sticky glue boards at the bottom prevents it from escaping.Physical trap design, the traps use simple physical principles to safely capture and kill insects.More effective to be use, please leave the device for 12 hours or more for the first time, this product has 12 hour and 6 hour timer switch buttons, easy to use, and do not open the collection basket during this period, that will allow the insects to escape, at the same time place the mosquito trap as close as possible to the source of the mosquito as fish tank, indoor plant or trash can, make sure to close the windows and lights to get the best results.Easy to clean that our mosquito trap adopts a removable tray design, when cleaning, just twist the bottom mosquito trap tray to remove the adhesive sheet.Fashionable appearance and powerful fan with eegant and smooth design style, making it more like art decoration, no more ugly traps or fly paper, powerful fan brings better capture effect while minimizing.",n/a,https://m.media-amazon.com/images/I/61zgyPmQgYL._AC_UL320_.jpg,34.99,4.2,842,"Tuzeasa Mosquito Traps, Indoor Insect Trap,with 10 Sticky Glue Boards Mosquito Eradicator (Black/Bule)",https://www.amazon.com/Tuzeasa-Mosquito-Indoor-Insect-Eradicator/dp/B08FCD559C/ref=sr_1_11?dchild=1&keywords=mosquito+trap&qid=1614367960&sr=8-11,1.76
B01G9FBKT4,13 x 13 x 20,6,"#6,117 in Patio, Lawn & Garden #180 in Pest Control Traps",DynaTrap,Amazon,"3-way protection against mosquitoes and other flying insectsExtra-large size with UV light designed to catch even more insectsPowerful, whisper-quiet fan traps insects without zapping or buzzingExtended coverage up to 1 acre; durable all-weather insect trap for use indoors and outdoors; plugs into standard 110-volt outletMosquito trap uses no pesticides or chemicals; requires no attractant or propaneNeeds at least 3 weeks to trap enough mosquitoes to make an impact, and 6 weeks to break the breeding cycle",n/a,https://m.media-amazon.com/images/I/61j3+iQUB6L._AC_UL320_.jpg,124.99,4.3,934,"DynaTrap Insect Trap (DT2000XLP), XL, Black",https://www.amazon.com/DynaTrap-Insect-Trap-DT2000XLP-Black/dp/B01G9FBKT4/ref=sr_1_8?dchild=1&keywords=mosquito+trap&qid=1614367960&sr=8-8,11
B008JGMOGK,13.8 x 11.1 x 11.2,19,"#1,703 in Patio, Lawn & Garden #76 in Pest Control Traps",DynaTrap,Amazon,Effectively attracts and traps flying insects to provide 3-way protection for your home and propertyEasily twist the trap on or off for simple operation and no-touch cleaningNear silent fan traps insectsLightweight and all-weather design allows you to place on nearly any surface or hang from a hookPlugs in to standard 120v outletDelivers up to 1/2 acre of coverage,n/a,https://m.media-amazon.com/images/I/81dcjfrcZ8L._AC_UL320_.jpg,84,4,3896,"Dynatrap DT1050 Insect Half Acre Mosquito Trap, 3 lbs, black",https://www.amazon.com/DynaTrap-DT1050-Half-Mosquito-Black/dp/B008JGMOGK/ref=sr_1_9?dchild=1&keywords=mosquito+trap&qid=1614367960&sr=8-9,4.5
B08CDB8PDG,21 x 21 x 17,6,"#65 in Patio, Lawn & Garden #4 in Pest Control Traps",FENUN,TOLOCO GoodsNC,"Easy to Operate: Only need to press catching button, the mosquito trap will start workingSmart Band Change Mode: Press catching button add light button enter smart band change mode , total of 7 wavelengthsDue to human are more attracted to the mosquitoes than the mosquito trap is, so it simulate human body temperature to emit heat to further enhance the trapping abilityWith 10 Sticky Glue Boards, suitable place indoor environments, such as bedroom, living room, kitchen, dining roomEnergy Saving and Compact: 5 W low power consumption mosquito eradicator is great for energy saving, and Its 4-ft power cable and portable design can be easily placed wherever you want",n/a,https://m.media-amazon.com/images/I/71tczyqle6L._AC_UL320_.jpg,22.1,4.1,10153,"FENUN Mosquito Traps, Gnat Trap, Moth Traps, Mosquito Trapper Indoor with 10 Sticky Glue Boards Mosquito Eradicator (Zap T360 Pro, Black)",https://www.amazon.com/FENUN-Mosquito-Trapper-Indoor-Eradicator/dp/B08CDB8PDG/ref=sr_1_5?dchild=1&keywords=mosquito+trap&qid=1614367960&sr=8-5,1.52
B07D2L8LS8,2.69 x 3.56 x 9.44,14,"#5,740 in Patio, Lawn & Garden #177 in Pest Control Traps",DynaTrap,Amazon,"Plug-in trap protects your family and pets from flying insects that can carry and spread diseaseAtraktaGlo technology uses warm UV light to attract flying insectsNon-toxic StickyTech Glue Card discreetly traps insects behind the decorative coverDelivers up to 600 square feet of coverage; ideal for use in kitchens, bathrooms, garages, and moreFly trap uses no pesticides or chemicals; replace glue cards every 30 to 60 days, or more frequently as needed",n/a,https://m.media-amazon.com/images/I/51r-PjNfs5L._AC_UL320_.jpg,21.28,4.3,1096,"DynaTrap DT3009 Flylight Indoor Insect and Mosquito Trap AtraktaGlo Light, StickyTech, 600 Square Feet, Black",https://www.amazon.com/DynaTrap-dt3009-DT3009-Flylight-Insect/dp/B07D2L8LS8/ref=sr_1_26?dchild=1&keywords=mosquito+trap&qid=1614367960&sr=8-26,0.9
