ASIN,Dimensions,activeseller,bestseller,brand,buybox,description,firstdate,img,price,rating,reviews,title,url,weight_lbs
B07RDGN4HD,7.09 x 2.24 x 0.75,1,"#2,238 in Office Products #2 in Technical Pens",Ankaka Store,Ankaka,"MADE OF ULTRA-STRONG AIRCRAFT ALUMINUM for self defense. Patented thread design at the handle and thumb head allow a thumb grip: the optimal way to fully transfer your power to the target. Won't break. Won't rust.LOW PROFILE, discreet yet effective self defense pen.LIGHTWEIGHT ballpoint  Weighs half as much as a regular tactical pen when it is detached as the ballpoint only, making it practical for daily use.This solves the balance issue too.WRITES SMOOTHLY EVEN WHEN WET, smear-proof ink, ink quickly dries with a consistent ink flow. Also compatible with low-price standard refills.Ultra durable tip for self defense in ONE MOVE OUT FROM YOUR POCKET.","May 5, 2019",https://m.media-amazon.com/images/I/61RGHz3KgjL._AC_UL320_.jpg,10.98,4.4,8127,"The Most Loaded 6-in-1 Tactical Pen: Solves Other Brands' Weaknesses,Self Defense Tip + Flashlight + Ballpoint + Bottle Opener + Screw Driver + Hexagonal Wrench, 5 Ink Refills + 6 Batteries + Gift Box",https://www.amazon.com/Most-Loaded-Tactical-Pen-Weaknesses/dp/B07RDGN4HD/ref=sr_1_9?dchild=1&keywords=pen&qid=1614289046&sr=8-9,0.2
B082PMSSS7,1 x 6.75 x 7.63,14,#40 in Office Products  #2 in Gel Ink Pens,SHARPIE Store,amazon,"Gel pen with no smear, no bleed technologyIntensely bold gel ink colors offer always vivid writingContoured rubber grip for a comfortable writing experienceMedium point (0.7 millimeter)Includes 4 black, 4 blue, and 4 red gel ink pens","January 1, 2020",https://m.media-amazon.com/images/I/91pRUp0tcbL._AC_UL320_.jpg,13.99,4.8,6317,"Sharpie S-Gel, Gel Pens, Medium Point (0.7mm), Assorted Colors, 12 Count",https://www.amazon.com/Sharpie-S-Gel-Medium-Assorted-Colors/dp/B082PMSSS7/ref=sr_1_8?dchild=1&keywords=pen&qid=1614289046&sr=8-8,0.35
B07Y8KN5QD,7.68 x 1.97 x 1.46,1,#416 in Office Products #1 in Fountain Pens,Asvine Store,Asvine Pen,"This pen is equipped with a unique, streamlined stainless steel extra fine nib to deliver an incomparable writing experience.It comes with a converter for bottled ink, Ink cartridges Not included for safety. You can purchase the Hongdian cartridges in our store, ASINB08259HPC7The weight of pen is carefully calculated and much more suitable for long time writing.This pen was designed for those who appreciate an exceptional writing experience.Beautifully well balanced and artfully writing instrument, this matte black fountain pen set is top of its class. With metal pen case, it makes an amazing gift for yourself, your family or absolutely anyone else.","October 8, 2019",https://m.media-amazon.com/images/I/51GbTy1IdeL._AC_UL320_.jpg,15.99,4.5,8743,Matte Black Forest Fountain Pen Extra Fine Nib Classic Design with Converter and Metal Pen Box Set by Hongdian,https://www.amazon.com/Forest-Fountain-Classic-Converter-Hongdian/dp/B07Y8KN5QD/ref=sr_1_1?dchild=1&keywords=pen&qid=1614289046&sr=8-1,0.180625
B07VVB7DSK,3.54 x 3.82 x 3.54,1,#469 in Office Products #11 in Ballpoint Pens,amazon,amazon,"Pen cup for neatly containing pens, pencils, scissors, and moreMade of durable steel wire; mesh design offers an industrial lookPowder-coat finish in sleek black for a professional appearanceDouble-rimmed, smooth edges; ideal for home, office, or classroomMeasures 3.5 by 3.5 by 3.9 inches; backed by an AmazonBasics 1-year limited warranty","October 16, 2019",https://m.media-amazon.com/images/I/81Pdkk4WSFL._AC_UL320_.jpg,5.17,4.8,2978,"AmazonBasics Wire Mesh Pen Cup, Black",https://www.amazon.com/AmazonBasics-Wire-Mesh-Pen-Black/dp/B07VVB7DSK/ref=sr_1_12?dchild=1&keywords=pen&qid=1614289046&sr=8-12,0.18
B002VL6LOA,0.75 x 7.38 x 2.38,8,#242 in Office Products #14 in Gel Ink Pens,Pentel Store,amazon,"High performance ink technology combines the best qualities of liquid and gel ink for a super-smooth writing experienceLiquid gel ink dries so fast even left handed writers love it - no smears, no smudges, no globsSleek & stylish barrel design with stainless steel accents for a professional lookLatex-free grip for writing comfort and control0.7mm stainless steel tip writes medium linesRetractable and conveniently refillable with Pentel LR7 ink refill.","October 1, 2010",https://m.media-amazon.com/images/I/71OGy4fIaDL._AC_UL320_.jpg,3.01,4.8,8886,"Pentel EnerGel Deluxe RTX Retractable Liquid Gel Pen, 0.7mm, Metal Tip, Blue Ink, 2 Pack (BL77BP2C)",https://www.amazon.com/Pentel-EnerGel-Deluxe-Retractable-BL77BP2C/dp/B002VL6LOA/ref=sr_1_11?dchild=1&keywords=pen&qid=1614289046&sr=8-11,0.07
B089D7MWZP,7.83 x 3.35 x 1.61,1,"#3,119 in Office Products #9 in Fountain Pens",BEILUNER Store,BeiLun,"[Superb Quality]: Silver stainless steel fountain pen with polished accents. Equipped with SCHMIDT ink feeding system for easier ink absorption. Beautifully balanced and artfully crafted, each fountain pen gives high precision and exceptional writing comfort for every occasion, coupled with a gorgeous design.[Unparalleled Writing Experience]: Iridium Medium Nib with 24K gold plated made in high quality, offering an excellent writing experience and allowing for a consistent flow of ink. Our filler fountain pens have a larger ink capacity. The regular converter will hold about 0.5ml of ink, our Schmidt converter would hold about 0.85ml of ink. It is sufficient enough for long periods of use once filled, saving your valuable time.[Thoughtfully Constructed]: Built to offer a delicate weight that is perfect for both left and right-handed writers, we ensure only the very best materials are used. Our pens utilize a medium nib with perfect ink flow for easy, even strokes and an expertly matched lid to ensure it absolutely NEVER falls off. Get up close and personal with the BEILUNER Stainless Steel Fountain Pen and see the difference for yourself.[Gifts]: Beautifully balanced and artfully crafted, the BEILUNER Silver Fountain Pen Set is top of its class. Complete with 6 ink black cartridges2.4mm bore diameter ), easy to use ink refill converter, and a luxurious gift case, it makes an amazing gift for yourself, your family or absolutely anyone else. We've combined the weight of superior metals and masterful craftsmanship to create a writing tool that is not only worth having but is built to last.[Guranteed]: Best of all, your purchase is protected by the guarantee. We stand behind all of our high quality products and each is backed by strong manufacturer support. If you have any issues with the product, we're here to make things right.","May 29, 2020",https://m.media-amazon.com/images/I/61Z4ZFHltNL._AC_UL320_.jpg,18.59,4.5,899,"BEILUNER Luxury Fountain Pen Set,Solid 24K Gilded Medium Nib, Silver Stainless Steel Body- Includes 6 Ink Cartridges &amp; Ink Refill Converter with Gift Case - Perfect for Men and Women",https://www.amazon.com/BEILUNER-Fountain-Stainless-Cartridges-Converter/dp/B089D7MWZP/ref=sr_1_13?dchild=1&keywords=pen&qid=1614289046&sr=8-13,0.55
B0772XSNXY,6.6 x 6.2 x 0.6,5,#50 in Office Products #1 in Porous-Point Pens#2 in Drawing Pens,iBayam Store,iBayamDirect,"VIBRANT COLORS Smart Fineliner Color Pens Set 18 Unique Colors, 0.38 mm Fine Point Colored Pens, Assorted Color Fine Tip Marker Pens, Minimal Bleed Thru Ink. Perfect as Journal Pens, Planner Pens, Journaling Pens, Teacher Pens, School Supplies, Office Supplies, Planner Accessories. Premium gift set for the family, friends, co-workers, Birthday, Christmas.SMOOTH WRITING Colorful Fine tip marker pen set with superfine, metal-clad fine tipped and outstanding performance in all areas of writing, drawing, coloring, easy and comfortable to write. You will also find them great for home, office, work, business, colleague, church, club, and organazition activities.GREAT marker pens for drawing lines & details, journal, planner, calendar, agenda, notebook, note taking, painting, writing, coloring, sketch, marker, signing, manga, animation, graphic, design, illustration, included artists fine-ink drawings and coloring small intricate patterns. Perfect Colored Pens for Middle School, High School, College, Bachelor, Graduate, Women, Men, Adult Coloring.Colored art writing drawing porous point pens. Water-based ink, minimal bleed thru (except very thin paper), these fiber-tipped pens create fine lines and intense water-based colors. Packaged in a soft transparent vinyl bag.WELL PACKAGE --- Our fine line pens come in a nice plastic storage case with fold over snap closure which can be easily placed in backpacks. For using in school, travel or used in the home and office. Great Back to School Stationary, planner or journaling supplies for Christmas, Birthday, Mother's Day, Easter Day, Valentine's Day, Thanksgiving Day, Party, New Year's.","November 1, 2017",https://m.media-amazon.com/images/I/71i8ORESpHL._AC_UL320_.jpg,9.98,4.7,46554,"iBayam Journal Planner Pens Colored Pens Fine Point Markers Fine Tip Drawing Pens Porous Fineliner Pen for Bullet Journaling Writing Note Taking Calendar Coloring Art Office School Supplies, 18 Colors",https://www.amazon.com/Fineliner-Journaling-Calendar-Coloring-Supplies/dp/B0772XSNXY/ref=sr_1_10?dchild=1&keywords=pen&qid=1614289046&sr=8-10,0.24
B06WGMTMVM,6.44 x 4.38 x 6.13,19,#265 in Office Products #6 in Ballpoint Pens,BIC Store,amazon,"#1 Selling Ball Pen* *Source: The NPD Group/ Retail Tracking Service/ U.S. Actual Unit Sales (Retail & Commercial Combined)/ Jul 2016-Jun 2017Writes the First Time, Every TimeFlexible round barrel for writing comfortReliable tungsten carbide ball spreads ink smoothly and consistentlyTranslucent barrel shows the ink level","March 7, 2017",https://m.media-amazon.com/images/I/91z7WOe3y-L._AC_UL320_.jpg,13.99,4.8,3938,"BIC Round Stic Xtra Life Ball Point Pen, Black, 144-Count",https://www.amazon.com/BIC-Round-Ballpoint-Medium-144-Count/dp/B06WGMTMVM/ref=sr_1_14?dchild=1&keywords=pen&qid=1614289046&sr=8-14,1.82
B082PN4X5J,1.1 x 2.88 x 5.86,25,#43 in Office Products #3 in Gel Ink Pens,SHARPIE Store,amazon,"Gel pen with no smear, no bleed technologyIntensely bold gel ink colors offer always vivid writingContoured rubber grip for a comfortable writing experienceMedium point (0.7 millimeter)Includes 12 black gel ink pens","January 1, 2020",https://m.media-amazon.com/images/I/81I7k7Oj6rL._AC_UL320_.jpg,12.99,4.7,21358,"Sharpie S-Gel, Gel Pens, Medium Point (0.7mm), Black Ink Gel Pen, 12 Count",https://www.amazon.com/Sharpie-S-Gel-Medium-Point-0-7mm/dp/B082PN4X5J/ref=sr_1_6?dchild=1&keywords=pen&qid=1614289046&sr=8-6,0.33125
B086R5D5C2,7 x 4.5 x 0.3,2,#939 in Office Products #1 in Technical Pens,Mr. Pen Store,Mr. Pen,"Package Includes: 12 x 0.4mm Fineliners In 12 Colors - Packaged In A Portable Transparent Plastic Case12 Colors: Black, Dark Blue, Light Blue, Dark Green, Light Green, Orange, Yellow, Red, Pink, Purple, Brown And Orchid0.4mm Fine Tip Is Ideal For All Areas Of Writing, Drawing Lines & Details, Journal, Planner, Calendar, Note Taking, Sketching, Manga, Animation, Graphic, Design, Illustration, Included Artists Fine-Ink Drawings And Coloring Small Intricate PatternsPremium Set For The Family, Friends, Co-Workers, Birthday And Christmas GiftsMinimal Bleed Thru With The Water-Based, Non-Toxic And Odorless Ink","April 3, 2020",https://m.media-amazon.com/images/I/81OyQyQL06L._AC_UL320_.jpg,6.99,4.5,311,"Mr. Pen- Fineliner Pens, 12 Pack, Pens Fine Point, Colored Pens, Journal Pens, Bible Journaling Pens, Journals Supplies, School Supplies, Pen Set, Art Pens, Writing Pens, Fine Tip Markers, Bible Pens",https://www.amazon.com/Mr-Fineliner-Journals-Supplies-Pen/dp/B086R5D5C2/ref=sr_1_7?dchild=1&keywords=pen&qid=1614289046&sr=8-7,0.149375
