ASIN,Dimensions,activeseller,bestseller,brand,buybox,description,firstdate,img,price,rating,reviews,title,url,weight_lbs
B07FPP6TB5,8.15 x 28.86 x 19.02,1,#24 in Amazon Devices & Accessories #1 in LED & LCD TVs#1 in Smart TVs#7 in Streaming Media Players,INSIGNIA,Best Buy,"Insignia HD Smart TV  Fire TV Edition delivers 720p picture quality with deep blacks and rich colors.With the Fire TV experience built-in, enjoy tens of thousands of channels, apps, and Alexa skills, including Disney+, Netflix, YouTube, Prime Video, Hulu, SHOWTIME, STARZ, and moreFire TV Edition seamlessly integrates live over-the-air TV and streaming channels on a unified home screen (HD antenna required).Easily control your TV with the included Voice Remote with Alexaplus, launch apps, search for titles, play music, switch inputs, control smart home devices, and more, using just your voice.Dimensions (W x H x D): TV without stand: 28.9 x 17.3 x 3, TV with stand: 28.9 x 19 x 8.2. Multiple device input/output options: 3 HDMI including 1 with ARC, USB, composite input, antenna/cable input, digital output (optical), audio output, Ethernet.",24-Sep-18,https://m.media-amazon.com/images/I/41BS3eLBuPL._AC_UY218_.jpg,129.99,4.7,31601,Insignia NS-32DF310NA19 32-inch Smart HD TV - Fire TV Edition,https://www.amazon.com/Insignia-NS-32DF310NA19-32-inch-720p-Smart/dp/B07FPP6TB5/ref=sr_1_8?dchild=1&keywords=TV&qid=1614296741&sr=8-8,11.2
B0874YZVWK,7.1 x 21.7 x 14.4,1,#27 in Amazon Devices & Accessories #2 in LED & LCD TVs#2 in Smart TVs#9 in Streaming Media Players,INSIGNIA,Best Buy,"Voice remote with Alexa: Use your voice to watch live TV, launch apps, search for titles, play music, switch inputs, control smart home devices, and more.Endless Entertainment: Watch over 500,000 streaming movies and TV episodes with access to tens of thousands of channels, apps, and Alexa skills.Access your favorite content: Fire TV Edition seamlessly integrates live over-the-air TV and streaming channels on a unified home screen.Smart TV with access to streaming services for countless entertainment options: Stream shows, movies, games and more with the TV's integrated apps.Item arrives in packaging that reveals whats inside and cant be hidden.",7-Jun-20,https://m.media-amazon.com/images/I/51H3k8XVFCL._AC_UY218_.jpg,99.99,4.6,5813,All-New Insignia NS-24DF310NA21 24-inch Smart HD 720p TV - Fire TV Edition,https://www.amazon.com/All-New-Insignia-NS-24DF310NA21-24-inch-Smart/dp/B0874YZVWK/ref=sr_1_6?dchild=1&keywords=TV&qid=1614296741&sr=8-6,6.4
B07CL4GLQW,28.9 x 6.4 x 18.2,25,#320 in Electronics #12 in LED & LCD TVs,SAMSUNG,Amazon,"Full HD 1080p Resolution - Enjoy a viewing experience that is 2x the clarity of standard HD TVs.Smart TV - Get to your entertainment the faster, easier, and more intelligent way. Easily access your streaming services all in one place using the Samsung Remote Control.Micro Dimming Pro - Reveal a more true-to-life picture with enhanced contrast.Quad Core Processor: enjoy a Fluid browsing experience and faster control switching between apps, streaming content and other media effortlessly.Dimensions: Without Stand 28.9"" W x 17.3"" H x 3.1"" D | With Stand 28.9"" W x 18.2"" H x 6.4"" DInputs/Outputs: Two HDMI Input, One Component Video Input, One RF In (Satellite Input), One RF In (Terrestrial/Cable Input), One USB Input, One Composite In (AV), One Ethernet (LAN) and One Digital Audio Out (Optical)",25-Apr-18,https://m.media-amazon.com/images/I/91UsHjAPTlL._AC_UY218_.jpg,237.99,4.6,2440,"Samsung Electronics UN32N5300AFXZA 32"" 1080p Smart LED TV (2018), Black",https://www.amazon.com/Samsung-Electronics-UN32N5300AFXZA-1080p-Smart/dp/B07CL4GLQW/ref=sr_1_10?dchild=1&keywords=TV&qid=1614296741&sr=8-10,9.5
B086VSTFYP,10.43 x 48.94 x 30.31,1,#39 in Amazon Devices & Accessories #3 in LED & LCD TVs#3 in Smart TVs#12 in Streaming Media Players,INSIGNIA,Best Buy,"Voice remote with Alexa: Use your voice to watch live TV, launch apps, search for titles, play music, switch inputs, control smart home devices, and more.Endless Entertainment: Watch over 500,000 streaming movies and TV episodes with access to tens of thousands of channels, apps, and Alexa skills.Access your favorite content: Fire TV Edition seamlessly integrates live over-the-air TV and streaming channels on a unified home screen.Watch high dynamic range (HDR) content on your TV: With an HDR-compatible 4K TV, you can enjoy HDR movies and TV shows, in addition to all your current content.Item arrives in packaging that reveals whats inside and cant be hidden.",18-Jun-20,https://m.media-amazon.com/images/I/61+OhM4LEUL._AC_UY218_.jpg,329.99,4.7,1782,"All-New Insignia NS-55DF710NA21 55-inch Smart 4K UHD - Fire TV Edition, Released 2020",https://www.amazon.com/All-New-Insignia-NS-55DF710NA21-55-inch-Smart/dp/B086VSTFYP/ref=sr_1_11?dchild=1&keywords=TV&qid=1614296741&sr=8-11,29.8
B088S3V3R4,28.8 x 7.1 x 18.9,30,#199 in Electronics #8 in LED & LCD TVs,TCL,Amazon,"Dimensions with Stand (W x H x D): 28.8"" x 18.9"" x 7.1"" | Without Stand (W x H x D): 28.8"" x 17.2"" x 2.9"" | Weight with Stand: 8.2 lbs | Weight without Stand: 8.0 lbsSmart functionality delivers all your favorite content with over 500,000 movies and TV episodes, accessible through the simple and intuitive Roku TVHD, Resolution: High definition (720p) resolution for excellent detail, color and contrastDual band Wi-Fi: Get fast and easy access to your favorite content to the dual band Wi-Fi connectionInputs: 3 HDMI 2.0 with HDCP 2.2 (one with HDMI ARC), 1 USB (media player), RF, Composite, Headphone Jack, Optical Audio OutEasy Voice Control: Works with Amazon Alexa or Google Assistant to help you find movie titles, launch or change channels, even switch inputs, using just your voice. Also available through the Roku mobile app",15-Jul-20,https://m.media-amazon.com/images/I/61ficuy07aL._AC_UY218_.jpg,148,4.6,3573,"TCL 32"" 3-Series 720p Roku Smart TV - 32S335",https://www.amazon.com/TCL-32-720p-ROKU-Smart/dp/B088S3V3R4/ref=sr_1_5?dchild=1&keywords=TV&qid=1614296741&sr=8-5,8.2
B08DHFX4FV,44.1 x 8 x 28,8,#93 in Electronics #4 in LED & LCD TVs,TCL,Amazon,"Dimensions (W x H x D): TV without stand: 44. 1 X 25. 7 X 3. 2 inches, TV with stand: 44. 1 X 28 X 8 inchesSmart functionality delivers all your favorite content with over 500,000 movies and TV episodes, accessible through the simple and intuitive Roku TVPairs 4K Ultra HD picture clarity with the contrast, color, and detail of high dynamic range (HDR) for the most lifelike pictureDirect lit LED produces great picture quality. Stand Separation Distance 39.6 inchesInputs: 3 HDMI 2. 0 with HDCP 2. 2 (one with HDMI ARC), 1 USB (media player), RF, Composite, Headphone Jack, Optical Audio Out, Ethernet",15-Sep-20,https://m.media-amazon.com/images/I/714hn7q7WxL._AC_UY218_.jpg,299.99,4.6,3148,"TCL 4K Smart LED TV, 50"" (50S435)",https://www.amazon.com/TCL-4K-Smart-LED-50S435/dp/B08DHFX4FV/ref=sr_1_3?dchild=1&keywords=TV&qid=1614296741&sr=8-3,15.1
B07G9W9ZR9,38.2 x 7.6 x 24.5,18,#136 in Electronics #6 in LED & LCD TVs,TCL,Amazon,"Easy Voice Control: Works with Amazon Alexa or Google Assistant to help you find movie titles, launch or change channels, even switch inputs, using just your voice. Also available through the Roku mobile appSmart Functionality offers access to over 5,000 streaming channels featuring more than 500,000 movies and TV episodes via Roku TV1080p Full HD Resolution excellent detail, color, and contrastDirect lit LED produces great picture quality with 60Hz refresh rate for fast moving action scenes with virtually no motion blurInputs: 3 HDMI, 1 USB, RF, Composite, Headphone Jack, Optical audio Out",1-Jan-18,https://m.media-amazon.com/images/I/71YZlXXFktL._AC_UY218_.jpg,218,4.6,40723,TCL 43S325 43 Inch 1080p Smart LED Roku TV (2019),https://www.amazon.com/TCL-43S325-Inch-1080p-Smart/dp/B07G9W9ZR9/ref=sr_1_4?dchild=1&keywords=TV&qid=1614296741&sr=8-4,16.5
B084JBTYHJ,57.1 x 11.1 x 35.7,23,#577 in Electronics #17 in LED & LCD TVs,SAMSUNG,Amazon,"Crystal processor 4K: This ultra-fast processor transforms everything you watch into stunning 4K.Multi voice: Smart TV with Alexa and Bixby.Smart TV powered by Tizen: Go beyond Smart TV with next-gen apps, super easy control, and a host of enhancements that elevate the TV watching experience.HDR: Unveils shades of color you can't find on HDTV.Crystal display: Experience crystal clear colors that are fine-tuned to deliver a naturally crisp and vivid picture.Alexa built-in: Voice control your TV and your day. Just ask Alexa to change the channel, search for movies, play music, control smart home devices, get sports updates and more.",10-Feb-20,https://m.media-amazon.com/images/I/71RiQZ0J2SL._AC_UY218_.jpg,747.99,4.7,23216,"SAMSUNG 65-inch Class Crystal UHD TU-8000 Series - 4K UHD HDR Smart TV with Alexa Built-in (UN65TU8000FXZA, 2020 Model)",https://www.amazon.com/SAMSUNG-65-inch-Crystal-TU-8000-Built/dp/B084JBTYHJ/ref=sr_1_9?dchild=1&keywords=TV&qid=1614296741&sr=8-9,46.1
B08JZJXLSS,44 x 10 x 28,3,"#13,420 in Electronics #132 in LED & LCD TVs",Amazon,GlobalRenewedNetwork,"Dolby Vison HDR: Dolby Vision transforms your TV experience with dramatic imaging  incredible brightness, contrast, and color that bring entertainment to life before your eyes. In addition, this TV supports HDR10+ and HLG high dynamic range formats.4K Ultra HD: With over 8 million pixels, 4 times the resolution of 1080p - enjoy every scene with breathtaking detail.Full Array Backlight: LEDs are evenly distributed across the screen's backlight for superior light uniformity and picture performance.VIZIO IQ Active 4K HDR Processor: Inside, the lightning-fast IQ Active processor delivers superior picture processing, and more intelligent 4K upscaling engine displaying your favorite HD entertainment in spectacular 4K quality.V-Gaming Engine: Automatically makes the latest Xbox One and PlayStation gameplay more responsive with Auto Game Mode and the V-Series lowest input lag.",24-Sep-20,https://m.media-amazon.com/images/I/41qGljLcoKL._AC_UY218_.jpg,369.99,4.2,55,VIZIO V505-H19 50 inches Class V-Series LED 4K UHD SmartCast TV - V505H19/V505H (Renewed),https://www.amazon.com/VIZIO-V505-H19-inches-Class-SmartCast/dp/B08JZJXLSS/ref=sr_1_20?dchild=1&keywords=TV&qid=1614296741&sr=8-20,22
B0875M44Y5,8.74 x 34.84 x 22.28,1,#27 in Amazon Devices & Accessories #2 in LED & LCD TVs#2 in Smart TVs#9 in Streaming Media Players,INSIGNIA,Best Buy,"Voice remote with Alexa: Use your voice to watch live TV, launch apps, search for titles, play music, switch inputs, control smart home devices, and more.Endless Entertainment: Watch over 500,000 streaming movies and TV episodes with access to tens of thousands of channels, apps, and Alexa skills.Access your favorite content: Fire TV Edition seamlessly integrates live over-the-air TV and streaming channels on a unified home screen.Smart TV with access to streaming services for countless entertainment options: Stream shows, movies, games and more with the TV's built-in Wi-Fi and integrated apps.Item arrives in packaging that reveals whats inside and cant be hidden.",7-Jun-20,https://m.media-amazon.com/images/I/612LGuPnbVL._AC_UY218_.jpg,169.99,4.6,5813,All-New Insignia NS-39DF310NA21 39-inch Smart HD 720p TV - Fire TV Edition,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A08442093AKAYDKQ3JXD3&url=%2FAll-New-Insignia-NS-39DF310NA21-39-inch-Smart%2Fdp%2FB0875M44Y5%2Fref%3Dsr_1_7_sspa%3Fdchild%3D1%26keywords%3DTV%26qid%3D1614296741%26sr%3D8-7-spons%26psc%3D1&qualifier=1614296741&id=4890983379659384&widgetName=sp_mtf,13.89
